VOLUME,COST
107,11252
146,15353
150,15774
150,15774
151,15879
166,17457
171,17982
180,18929
188,19770
193,20296
194,20401
197,20717
202,21242
202,21242
203,21347
206,21663
211,22189
221,23240
221,23240
229,24082
229,24082
245,25764
252,26500
257,27026
258,27131
268,28183
307,32284
384,40381
1832,192653
1857,195282
