VOLUME,COST
2539,239148
2551,240279
2554,240561
2878,271079
3221,303386
3416,321753
3603,339367
3642,343040
4139,389852
4416,415943
4469,420935
4530,426681
4581,431484
4581,431484
4655,438454
4787,450888
4813,453336
4966,467748
5109,481217
5131,483289
5146,484702
5188,488658
5197,489505
5262,495628
5423,510792
5586,526145
5979,563162
6040,568908
6381,601026
6488,611105
